cohort	trait	description	definition	model_marginal	n_samples	n_cases	n_controls	mean	sd	unit	domain	trait_cohort
BBJ	AD	Atopic dermatitis (Eczema)	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	168103	4296	163807	NA	NA	NA	Other	AD_Combined
FG	AD	Atopic dermatitis	FinnGen: L12_ATOPIC	SAIGE	244544	8383	236161	NA	NA	NA	Other	L12_ATOPIC
UKBB	AD	Atopic dermatitis	Phecode 939	SAIGE	357633	1865	355768	NA	NA	NA	Other	Eczema
BBJ	AFib	Atrial fibrillation	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	164561	9021	155540	NA	NA	NA	Cardiovascular	AFib_Combined
FG	AFib	Atrial fibrillation and flutter	FinnGen: I9_AF	SAIGE	164491	28670	135821	NA	NA	NA	Cardiovascular	I9_AF
UKBB	AFib	Atrial fibrillation	Phecode 427.2	SAIGE	349512	12975	336537	NA	NA	NA	Cardiovascular	AFib
BBJ	AG	Albumin/Globulin ratio	Albumin / (Total Protein - Albumin)	BOLT	117733	NA	NA	1.470930323	0.317795042	[ratio]	Other	AG
UKBB	AG	Albumin/Globulin ratio	Albumin (UKBB: 30600) / (Total Protein [UKBB: 30860] - Albumin)	BOLT	316549	NA	NA	1.698676846	0.255770315	[ratio]	Other	AG
BBJ	Age_at_Menarche	Age at menarche	Retrieved from medical records (PMID: 29773799)	BOLT	70394	NA	NA	13.93419633	1.931145317	years	Other	Age_at_Menarche
UKBB	Age_at_Menarche	Age at menarche	UKBB: 2714	BOLT	188645	NA	NA	12.95461846	1.602657976	years	Other	Age_at_Menarche
BBJ	Age_at_Menopause	Age at menopause	Retrieved from medical records (PMID: 29773799)	BOLT	53063	NA	NA	49.70959363	3.897334975	years	Other	Age_at_Menopause
UKBB	Age_at_Menopause	Age at menopause	UKBB: 3581	BOLT	109110	NA	NA	50.33615617	4.147966287	years	Other	Age_at_Menopause
BBJ	AID	Autoimmune disease	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	178726	6326	172400	NA	NA	NA	Immunological	AID
FG	AID	Autoimmune diseases	FinnGen: AUTOIMMUNE	SAIGE	260405	52657	207748	NA	NA	NA	Immunological	AUTOIMMUNE
UKBB	AID	Autoimmune disease (Phecode + Self-reported)	Combination of Phecodes (242.1, 244, 250.1, 335, 358.1, 446.4, 555, 557.1, 564.1, 694.1, 695.42, 704.1, 709.2, 709.3, 714.1, 715.2, 717) and non-cancer self-reported illness codes (1154, 1222, 1224, 1225, 1226, 1256, 1260, 1261, 1313, 1372, 1377, 1378, 1381, 1382, 1384, 1437, 1453, 1456, 1461, 1462, 1463, 1464, 1477, 1522, 1661, 1667)	SAIGE	293798	57091	236707	NA	NA	NA	Immunological	AID_Combined
BBJ	Alb	Albumin	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	120539	NA	NA	41.91158828	4.41833593	g/L	Other	Alb
UKBB	Alb	Albumin	UKBB: 30600	BOLT	317006	NA	NA	45.23837158	2.61178197	g/L	Other	Alb
BBJ	ALP	Alkaline phosphatase	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	118886	NA	NA	236.7780305	85.22999113	IU/L	Hepatic	ALP
UKBB	ALP	Alkaline phosphatase	UKBB: 30610	BOLT	345247	NA	NA	83.57396212	26.46268544	U/L	Hepatic	ALP
BBJ	ALT	Alanine aminotransferase	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	150545	NA	NA	22.88153203	12.72380754	IU/L	Hepatic	ALT
UKBB	ALT	Alanine aminotransferase	UKBB: 30620	BOLT	345091	NA	NA	23.53506985	14.04347346	U/L	Hepatic	ALT
FG	Alzheimer	Alzheimer’s disease, wide definition	FinnGen: G6_AD_WIDE	SAIGE	260208	7329	252879	NA	NA	NA	Neurological	G6_AD_WIDE
UKBB	Alzheimer	Alzheimer disease (LTFH)	Alzheimer LT-FH (see Hujoel et al. bioRxiv, 2019)	BOLT	360661	NA	NA	NA	NA	NA	Neurological	Alzheimer_LTFH
FG	AMD	Age-related macular degeneration (whether dry or wet)	FinnGen: H7_AMD	SAIGE	248596	4645	243951	NA	NA	NA	Other	H7_AMD
